TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
1359,tt0144084,movies,American Psycho,2000-04-13T00:00:00Z,,,7.35,9.0,2021-08-21T07:30:24Z
60726,tt3487382,tv,Forever,2014-09-22T00:00:00Z,,,7.64,9.0,2021-09-05T21:03:32Z
263115,tt3315342,movies,Logan,2017-02-28T00:00:00Z,,,7.805,8.0,2021-08-29T19:11:52Z
22,tt0325980,movies,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09T00:00:00Z,,,7.748,8.0,2021-08-29T19:18:11Z
1865,tt1298650,movies,Pirates of the Caribbean: On Stranger Tides,2011-05-14T00:00:00Z,,,6.49,8.0,2021-08-29T19:18:43Z
272,tt0372784,movies,Batman Begins,2005-06-10T00:00:00Z,,,7.678,8.0,2021-08-29T19:51:21Z
49026,tt1345836,movies,The Dark Knight Rises,2012-07-16T00:00:00Z,,,7.756,8.0,2021-08-29T19:52:04Z
24,tt0266697,movies,Kill Bill: Vol. 1,2003-10-10T00:00:00Z,,,7.968,8.0,2021-08-29T20:21:25Z
60625,tt2861424,animation,Rick and Morty,2013-12-02T00:00:00Z,,,8.786,8.0,2021-09-07T19:21:02Z
37863,tt0421357,animation,Fullmetal Alchemist,2003-10-04T00:00:00Z,,,8.283,8.0,2021-09-07T19:39:15Z
291805,tt3110958,movies,Now You See Me 2,2016-06-02T00:00:00Z,,,6.84,7.0,2021-08-21T07:16:27Z
36658,tt0290334,movies,X2: X-Men United,2003-04-24T00:00:00Z,,,7.006,7.0,2021-08-29T19:08:41Z
246655,tt3385516,movies,X-Men: Apocalypse,2016-05-18T00:00:00Z,,,6.525,7.0,2021-08-29T19:10:03Z
664767,tt9580138,movies,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12T00:00:00Z,,,8.32,7.0,2021-08-29T19:24:33Z
122,tt0167260,movies,The Lord of the Rings: The Return of the King,2003-12-01T00:00:00Z,,,8.474,7.0,2021-08-29T19:34:18Z
120,tt0120737,movies,The Lord of the Rings: The Fellowship of the Ring,2001-12-18T00:00:00Z,,,8.363,7.0,2021-08-29T19:34:38Z
121,tt0167261,movies,The Lord of the Rings: The Two Towers,2002-12-18T00:00:00Z,,,8.347,7.0,2021-08-29T19:34:44Z
31911,tt1355642,animation,Fullmetal Alchemist: Brotherhood,2009-04-05T00:00:00Z,,,8.67,7.0,2021-09-07T19:39:42Z
13183,tt0409459,movies,Watchmen,2009-03-05T00:00:00Z,,,7.302,7.0,2021-09-07T19:42:55Z
9502,tt0441773,animation,Kung Fu Panda,2008-06-04T00:00:00Z,,,7.17,7.0,2021-09-07T20:01:06Z
283995,tt3896198,movies,Guardians of the Galaxy Vol. 2,2017-04-19T00:00:00Z,,,7.637,7.0,2021-09-07T20:36:19Z
585,tt0198781,animation,"Monsters, Inc.",2001-11-01T00:00:00Z,,,7.809,7.0,2021-09-07T20:38:42Z
5915,tt0758758,movies,Into the Wild,2007-09-11T00:00:00Z,,,7.829,6.0,2021-08-21T07:09:30Z
10726,tt0283877,movies,American Psycho II: All American Girl,2002-04-22T00:00:00Z,,,4.33,6.0,2021-08-21T07:30:56Z
790,tt0094525,tv,Agatha Christie's Poirot,1989-01-08T00:00:00Z,,,8.092,6.0,2021-08-29T18:40:32Z
271110,tt3498820,movies,Captain America: Civil War,2016-04-27T00:00:00Z,,,7.423,6.0,2021-08-29T19:03:20Z
127585,tt1877832,movies,X-Men: Days of Future Past,2014-05-15T00:00:00Z,,,7.524,6.0,2021-08-29T19:09:37Z
320288,tt6565702,movies,Dark Phoenix,2019-06-05T00:00:00Z,,,6.043,6.0,2021-08-29T19:10:42Z
102382,tt1872181,movies,The Amazing Spider-Man 2,2014-04-16T00:00:00Z,,,6.412,6.0,2021-08-29T19:14:05Z
285,tt0449088,movies,Pirates of the Caribbean: At World's End,2007-05-19T00:00:00Z,,,7.208,6.0,2021-08-29T19:18:27Z
166426,tt1790809,movies,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23T00:00:00Z,,,6.63,6.0,2021-08-29T19:18:50Z
284053,tt3501632,movies,Thor: Ragnarok,2017-10-25T00:00:00Z,,,7.59,6.0,2021-08-29T19:21:57Z
745,tt0167404,movies,The Sixth Sense,1999-08-06T00:00:00Z,,,7.935,6.0,2021-08-29T19:33:06Z
57158,tt1170358,movies,The Hobbit: The Desolation of Smaug,2013-12-11T00:00:00Z,,,7.579,6.0,2021-08-29T19:35:29Z
122917,tt2310332,movies,The Hobbit: The Battle of the Five Armies,2014-12-10T00:00:00Z,,,7.298,6.0,2021-08-29T19:37:15Z
58574,tt1515091,movies,Sherlock Holmes: A Game of Shadows,2011-11-22T00:00:00Z,,,7.123,6.0,2021-08-29T19:38:21Z
1573,tt0099423,movies,Die Hard 2,1990-07-02T00:00:00Z,,,6.893,6.0,2021-08-29T19:40:17Z
1572,tt0112864,movies,Die Hard: With a Vengeance,1995-05-19T00:00:00Z,,,7.206,6.0,2021-08-29T19:40:24Z
603,tt0133093,movies,The Matrix,1999-03-30T00:00:00Z,,,8.163,6.0,2021-08-29T19:48:59Z
155,tt0468569,movies,The Dark Knight,2008-07-14T00:00:00Z,,,8.475,6.0,2021-08-29T19:50:56Z
68721,tt1300854,movies,Iron Man 3,2013-04-18T00:00:00Z,,,6.929,6.0,2021-08-29T19:53:34Z
70160,tt1392170,movies,The Hunger Games,2012-03-12T00:00:00Z,,,7.171,6.0,2021-08-29T20:12:44Z
131634,tt1951266,movies,The Hunger Games: Mockingjay - Part 2,2015-11-18T00:00:00Z,,,6.889,6.0,2021-08-29T20:15:04Z
38,tt0338013,movies,Eternal Sunshine of the Spotless Mind,2004-03-19T00:00:00Z,,,8.09,6.0,2021-08-29T20:21:53Z
9806,tt0317705,animation,The Incredibles,2004-10-27T00:00:00Z,,,7.69,6.0,2021-09-07T19:45:34Z
260513,tt3606756,animation,Incredibles 2,2018-06-14T00:00:00Z,,,7.527,6.0,2021-09-07T19:46:07Z
941,tt0093409,movies,Lethal Weapon,1987-03-06T00:00:00Z,,,7.261,6.0,2021-09-07T19:57:31Z
49444,tt1302011,animation,Kung Fu Panda 2,2011-05-25T00:00:00Z,,,6.878,6.0,2021-09-07T20:01:16Z
68507,tt5607976,tv,His Dark Materials,2019-11-03T00:00:00Z,,,8.046,6.0,2021-09-23T21:30:29Z
550988,tt6264654,movies,Free Guy,2021-08-11T00:00:00Z,,,7.887,6.0,2021-10-08T07:14:05Z
512200,tt7975244,movies,Jumanji: The Next Level,2019-12-04T00:00:00Z,,,6.997,5.0,2021-08-21T07:27:27Z
798481,tt2119593,movies,"Poirot: ""The Labours of Hercules""",2013-02-01T00:00:00Z,,,5.0,5.0,2021-08-29T18:39:41Z
14161,tt1190080,movies,2012,2009-10-10T00:00:00Z,,,5.78,5.0,2021-08-29T18:48:18Z
36647,tt0120611,movies,Blade,1998-08-21T00:00:00Z,,,6.707,5.0,2021-08-29T18:54:10Z
36586,tt0187738,movies,Blade II,2002-03-22T00:00:00Z,,,6.466,5.0,2021-08-29T18:54:25Z
4327,tt0160127,movies,Charlie's Angels,2000-11-02T00:00:00Z,,,5.824,5.0,2021-08-29T18:56:08Z
772,tt0104431,movies,Home Alone 2: Lost in New York,1992-11-19T00:00:00Z,,,6.652,5.0,2021-08-29T18:57:28Z
1771,tt0458339,movies,Captain America: The First Avenger,2011-07-22T00:00:00Z,,,6.971,5.0,2021-08-29T19:02:41Z
100402,tt1843866,movies,Captain America: The Winter Soldier,2014-03-20T00:00:00Z,,,7.679,5.0,2021-08-29T19:03:02Z
218,tt0088247,movies,The Terminator,1984-10-26T00:00:00Z,,,7.605,5.0,2021-08-29T19:05:44Z
280,tt0103064,movies,Terminator 2: Judgment Day,1991-07-03T00:00:00Z,,,8.054,5.0,2021-08-29T19:05:56Z
787,tt0356910,movies,Mr. & Mrs. Smith,2005-06-07T00:00:00Z,,,6.66,5.0,2021-08-29T19:14:45Z
165,tt0096874,movies,Back to the Future Part II,1989-11-22T00:00:00Z,,,7.737,5.0,2021-08-29T19:15:34Z
196,tt0099088,movies,Back to the Future Part III,1990-05-25T00:00:00Z,,,7.443,5.0,2021-08-29T19:15:47Z
460465,tt0293429,movies,Mortal Kombat,2021-04-07T00:00:00Z,,,7.344,5.0,2021-08-29T19:24:48Z
