target_title,target_id,target_type,score,status,rewatches,episodes,text
Mahoutsukai no Yome,35062,Anime,0,planned,0,0,
Mahoutsukai no Yome: Hoshi Matsu Hito,32902,Anime,0,planned,0,0,
No Game No Life,19815,Anime,0,planned,0,0,
Yakusoku no Neverland,37779,Anime,0,planned,0,0,
Jin-Rou,570,Anime,0,planned,0,0,
Tensei shitara Slime Datta Ken,37430,Anime,0,planned,0,0,
Brave Story,1681,Anime,0,planned,0,0,
Paprika,1943,Anime,0,planned,0,0,
Final Fantasy: The Spirits Within,1361,Anime,0,planned,0,0,
Da Yu Hai Tang (Movie),10259,Anime,0,planned,0,0,
Hirune Hime: Shiranai Watashi no Monogatari,33204,Anime,0,planned,0,0,
Kamisama Hajimemashita,14713,Anime,0,planned,0,0,
Kamisama Hajimemashita◎,25681,Anime,0,planned,0,0,
Kamisama Hajimemashita: Kako-hen,30709,Anime,0,planned,0,0,
Kamisama Hajimemashita OVA,18661,Anime,0,planned,0,0,
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",33323,Anime,0,planned,0,0,
K,14467,Anime,0,planned,0,0,
Psycho-Pass,13601,Anime,0,completed,0,22,
Gake no Ue no Ponyo,2890,Anime,0,completed,0,1,
Kotonoha no Niwa,16782,Anime,0,planned,0,0,
Yamato Nadeshiko Shichihenge♥,1562,Anime,0,planned,0,0,
Ao no Exorcist,9919,Anime,0,planned,0,0,
Ao no Exorcist Movie,11737,Anime,0,planned,0,0,
Ao no Exorcist: Kyoto Fujouou-hen,33506,Anime,0,planned,0,0,
Ao no Exorcist: Kyoto Fujouou-hen OVA,34465,Anime,0,planned,0,0,
Ao no Exorcist: Kuro no Iede,11266,Anime,0,planned,0,0,
Ao no Exorcist: Ura Ex,10647,Anime,0,planned,0,0,
Made in Abyss,34599,Anime,0,completed,0,13,
High School DxD New,15451,Anime,0,planned,0,0,
Kimi no Na wa.,32281,Anime,0,completed,0,1,
Shigatsu wa Kimi no Uso,23273,Anime,0,planned,0,0,
Tokyo Ghoul √A,27899,Anime,0,planned,0,0,
Tokyo Ghoul:re,36511,Anime,0,planned,0,0,
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,35851,Anime,0,watching,0,0,
Koe no Katachi,28851,Anime,0,planned,0,0,
School Rumble Ni Gakki,846,Anime,0,completed,0,26,
Yamada-kun to 7-nin no Majo (TV),28677,Anime,0,planned,0,0,
Wonderful Days,548,Anime,0,completed,0,1,
Kara no Kyoukai 5: Mujun Rasen,4282,Anime,0,planned,0,0,
X/1999,155,Anime,0,completed,0,1,
Aoi Bungaku Series,7193,Anime,0,planned,0,0,
Zankyou no Terror,23283,Anime,0,completed,0,11,
Suzumiya Haruhi no Shoushitsu,7311,Anime,0,planned,0,0,
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,37450,Anime,0,planned,0,0,
Nodame Cantabile: Finale,5690,Anime,0,planned,0,0,
Gosick,8425,Anime,0,planned,0,0,
Kanojo to Kanojo no Neko: Everything Flows,32491,Anime,0,planned,0,0,
Kimi no Suizou wo Tabetai,36098,Anime,0,planned,0,0,
Natsume Yuujinchou San,10379,Anime,0,planned,0,0,
Natsume Yuujinchou Go,32983,Anime,0,planned,0,0,
Violet Evergarden,33352,Anime,0,planned,0,0,
Natsume Yuujinchou: Itsuka Yuki no Hi ni,20651,Anime,0,planned,0,0,
Natsume Yuujinchou Go Specials,34534,Anime,0,planned,0,0,
Tsumiki no Ie,5365,Anime,0,completed,0,1,
xxxHOLiC: Shunmuki,4918,Anime,0,completed,0,2,
xxxHOLiC,861,Anime,0,completed,0,24,
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,36702,Anime,0,planned,0,0,
Shinsekai yori,13125,Anime,0,planned,0,0,
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,32188,Anime,0,planned,0,0,
One Punch Man 2nd Season,34134,Anime,0,planned,0,0,
Psycho-Pass Movie,21339,Anime,0,completed,0,1,
FLCL Progressive,33010,Anime,0,planned,0,0,
FLCL Alternative,35842,Anime,0,planned,0,0,
No.6,10161,Anime,0,planned,0,0,
Metropolis,522,Anime,0,planned,0,0,
Owarimonogatari 2nd Season,35247,Anime,0,planned,0,0,
Shingeki no Kyojin Season 3 Part 2,38524,Anime,0,planned,0,0,
Owarimonogatari,31181,Anime,0,planned,0,0,
Bungou Stray Dogs 3rd Season,38003,Anime,0,planned,0,0,
Bungou Stray Dogs 2nd Season,32867,Anime,0,planned,0,0,
xxxHOLiC: Rou,6864,Anime,0,planned,0,0,
Death Parade,28223,Anime,0,planned,0,0,
ef: A Tale of Memories.,2924,Anime,0,completed,0,12,
Un-Go: Inga-ron,11531,Anime,0,completed,0,1,
Ajin,31580,Anime,0,planned,0,0,
Nijuu Mensou no Musume,3673,Anime,0,planned,0,0,
Kamisama no Memochou,10568,Anime,0,planned,0,0,
Zoku Owarimonogatari,36999,Anime,0,planned,0,0,
Owarimonogatari 2nd Season Recaps,36796,Anime,0,planned,0,0,
Kizumonogatari III: Reiketsu-hen,31758,Anime,0,watching,0,0,
Kizumonogatari II: Nekketsu-hen,31757,Anime,0,completed,0,1,
Koyomimonogatari,32268,Anime,0,planned,0,0,
Okitegami Kyouko no Bibouroku x Monogatari,32191,Anime,0,planned,0,0,
Nekomonogatari: Kuro Recap,38971,Anime,0,completed,0,1,
Naisho no Hanashi,36725,Anime,0,planned,0,0,
Bungou Stray Dogs: Hitori Ayumu,33071,Anime,0,planned,0,0,
Bungou Stray Dogs,31478,Anime,0,planned,0,0,
ef: A Tale of Melodies.,4789,Anime,0,completed,0,12,
ef: A Tale of Memories. - Recollections,6783,Anime,0,completed,0,1,
ef: A Tale of Melodies. - Prologue,6401,Anime,0,completed,0,1,
ef: A Tale of Memories. - Prologue,6361,Anime,0,completed,0,1,
Inga Nikki,12411,Anime,0,planned,0,0,
C: The Money of Soul and Possibility Control,10163,Anime,0,planned,0,0,
Ookami Kodomo no Ame to Yuki,12355,Anime,0,planned,0,0,
Carole & Tuesday,37435,Anime,0,planned,0,0,
Log Horizon,17265,Anime,0,planned,0,0,
Full Metal Panic! The Second Raid,73,Anime,0,planned,0,0,
Chouyaku Hyakuninisshu: Uta Koi.,13349,Anime,0,planned,0,0,
Fate/Zero,10087,Anime,0,planned,0,0,
Pokemon,527,Anime,0,completed,0,276,
Torikaekko Please,33898,Anime,0,completed,0,1,
Pokemon: Aki no Special,37865,Anime,0,completed,0,1,
Pokemon Movie 01: Mewtwo no Gyakushuu,528,Anime,0,completed,0,1,
Pokemon Introductory Recap,11073,Anime,0,completed,0,1,
Pokemon: Pikachu no Fuyuyasumi,4874,Anime,0,completed,0,2,
Pokemon: Pikachu no Natsuyasumi,5526,Anime,0,completed,0,1,
Pokemon: Pikachu Tankentai,4792,Anime,0,completed,0,1,
Pokemon: Yadoking no Ichinichi,6385,Anime,0,completed,0,1,
Pokemon: Pichu to Pikachu,4793,Anime,0,completed,0,1,
TV-ban Pokemon Special Masara Town-hen Recaps,31750,Anime,0,completed,0,3,
Pokemon: Mewtwo! Ware wa Koko ni Ari,1709,Anime,0,completed,0,1,
Pokemon Crystal: Raikou Ikazuchi no Densetsu,1525,Anime,0,completed,0,1,
Pokemon Advanced Generation,1564,Anime,0,completed,0,192,
Pokemon Housoukyoku,2363,Anime,0,completed,0,16,
Pokemon: Odoru Pokemon Himitsu Kichi,5529,Anime,0,completed,0,1,
Pokemon 3D Adventure: Mew wo Sagase!,11019,Anime,0,completed,0,1,
Boruto: Naruto Next Generations,34566,Anime,0,watching,0,0,
Beastars,39195,Anime,0,completed,0,12,
