target_title,target_id,target_type,score,status,rewatches,episodes,text
Hellsing: Digest for Freaks,6904,Anime,0,completed,0,1,
Hellsing: Psalm of the Darkness,7728,Anime,0,completed,0,1,
Hellsing: The Dawn,11077,Anime,0,completed,0,3,
Higashi no Eden,5630,Anime,0,completed,0,11,
Higashi no Eden Movie I: The King of Eden,6372,Anime,0,completed,0,1,
Higashi no Eden Movie II: Paradise Lost,6637,Anime,0,completed,0,1,
Higashi no Eden: Air Communication,6927,Anime,0,completed,0,1,
Higurashi no Naku Koro ni,934,Anime,0,completed,0,26,
Higurashi no Naku Koro ni Kai,1889,Anime,0,completed,0,24,
Higurashi no Naku Koro ni Kai Specials,6064,Anime,0,completed,0,24,
Higurashi no Naku Koro ni Kira,10491,Anime,0,completed,0,4,
Higurashi no Naku Koro ni Rei,3652,Anime,0,completed,0,5,
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,2899,Anime,0,completed,0,1,
Hitsuji no Uta,258,Anime,0,planned,0,0,
Hotaru no Haka,578,Anime,10,completed,0,1,
Howl no Ugoku Shiro,431,Anime,0,completed,0,1,
Ikkitousen,257,Anime,0,completed,0,13,
Ikkitousen: Dragon Destiny,1956,Anime,0,completed,0,12,
Ikkitousen: Dragon Destiny Specials,2905,Anime,0,completed,0,6,
Ikkitousen: Extravaganza Epoch,26183,Anime,0,planned,0,0,
Ikkitousen: Great Guardians,4196,Anime,0,completed,0,12,
Ikkitousen: Great Guardians Specials,5333,Anime,0,completed,0,6,
Ikkitousen: Shuugaku Toushi Keppuuroku,11255,Anime,0,planned,0,0,
Ikkitousen: Western Wolves,38425,Anime,0,planned,0,0,
Ikkitousen: Xtreme Xecutor,7580,Anime,0,planned,0,0,
Injuu Nerawareta Idol,3584,Anime,0,completed,0,1,
Jigoku Shoujo,228,Anime,10,completed,0,26,
Jigoku Shoujo Futakomori,1594,Anime,0,completed,0,26,
Jigoku Shoujo Mitsuganae,3713,Anime,0,completed,0,26,
Joshikousei no Koshitsuki,18691,Anime,0,completed,0,6,
Junjou Shoujo Et Cetera,19569,Anime,0,completed,0,2,
Junk Land The Animation,20379,Anime,0,completed,0,1,
Kamyla,3921,Anime,0,completed,0,3,
Kannazuki no Miko,143,Anime,0,completed,0,12,
Kanon,144,Anime,0,planned,0,0,
Kao no nai Tsuki,1408,Anime,0,completed,0,5,
Karin,469,Anime,0,completed,0,24,
Kaze no Tani no Nausicaa,572,Anime,0,completed,0,1,
Kaze wo Mita Shounen,757,Anime,0,completed,0,1,
Kill la Kill,18679,Anime,0,completed,0,24,
Kill la Kill Specials,21659,Anime,0,completed,0,2,
Kimi ga Nozomu Eien,147,Anime,10,completed,0,14,
Kimi ga Nozomu Eien: Ayu Mayu Gekijou,1856,Anime,0,dropped,0,0,
Kimi ga Nozomu Eien: Next Season,3318,Anime,9,completed,0,4,
Kininaru Kimochi,3350,Anime,0,completed,0,4,
Kino no Tabi: The Beautiful World,486,Anime,0,planned,0,0,
Kizumonogatari I: Tekketsu-hen,9260,Anime,0,completed,0,1,
Koakuma Kanojo The Animation,20801,Anime,0,completed,0,2,
Koukaku Kidoutai,43,Anime,10,completed,0,1,
"Kumo no Mukou, Yakusoku no Basho",433,Anime,0,completed,0,1,
Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,2841,Anime,0,completed,0,2,
Kuroshitsuji,4898,Anime,0,dropped,0,0,
Kyoukai no Kanata,18153,Anime,0,completed,0,12,
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,25015,Anime,0,completed,0,1,
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,28675,Anime,0,completed,0,1,
Kyoukai no Kanata: Mini Gekijou,20909,Anime,0,completed,0,7,
Last Exile,97,Anime,0,completed,0,26,
Last Exile: Ginyoku no Fam,10336,Anime,0,completed,0,21,
